,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
Sample_314,0.021504776634762107,0.03903095757575383,0.07497189649413269,0.004024850914564088,0.09926748688177776,0.48370190491055975,0.05700069132519519,0.10187240474078832,2.5972693984743656e-05,0.0,0.0,0.11859905782848146
Sample_316,0.017469905837231483,0.08464407414570145,0.06749861539412924,0.0034223044416352537,0.07827468331883328,0.5765752610763869,0.02704856848306213,0.07758852481140459,0.00012198744942533748,0.0,0.0,0.06735607504219031
Sample_318,0.016173452379526398,0.06991880249682422,0.15888928986791942,0.002230876774509023,0.19418350796126663,0.405468777270959,0.05153564243810336,0.06435893826568767,0.0008689226677239251,0.0,0.0,0.0363717898774804
Sample_320,0.048385734928602625,0.08874671739140785,0.04541274774217102,0.003073120255558464,0.06398425959903684,0.5823346462272305,0.02694717703589409,0.08130129611931114,7.227742898533358e-06,0.0,0.0,0.05980707295788902
Sample_322,0.03867522924516708,0.053131703080526324,0.12279833464728658,0.0015003738712480036,0.16720041193612545,0.3479066766692358,0.03385159597716046,0.06459257634262638,5.948509015940197e-05,0.0,0.0,0.17028361314046442
Sample_324,0.0230539374822878,0.08186976300415766,0.07402585210828133,0.0038441863869558214,0.12201253145996341,0.522137113268974,0.046696271051770835,0.100531046839894,0.00012263137771381584,0.0,0.0,0.02570666702000144
Sample_326,0.01735414430814652,0.07584619752951174,0.10470217221466561,0.00240397202807211,0.12428107103962528,0.46175409139881435,0.03521098566914099,0.06069020162412978,0.00039758184638493326,0.0,0.0,0.11735958234150867
Sample_328,0.014638983411137809,0.057781070888916625,0.07337158870852828,0.00178956627281638,0.08840267996041713,0.5467904476055686,0.05565751583364449,0.10335206832282849,0.0001453257436302319,0.0,0.0,0.0580707532525117
Sample_330,0.02741893328872288,0.04087856431406166,0.16898248900942286,0.005175734824600213,0.3501317339060419,0.28376289413559747,0.03612262693116394,0.06395196507801398,0.0005330033911929762,0.0,0.0,0.023042055121182004
Sample_332,0.08529328269144369,0.07864570209839607,0.233511726134335,0.003475015702062608,0.34728576688425394,0.13371550847423538,0.05557546595496772,0.041011327650006764,0.0004087342954074712,0.0,0.0,0.02107747011489131
Sample_334,0.09026593253204143,0.05713565278456667,0.22383267332256773,0.005158507073215127,0.2571896878020776,0.2628708597587626,0.0480795667090146,0.042606815732269945,0.001617634853031768,0.0,0.0,0.01124266943245258
Sample_352,0.0854817248823316,0.06265759161880859,0.1609957582888117,0.006174358982440951,0.3174251229245219,0.15193922659680076,0.15319988318708921,0.03868365128253282,0.0030594585083164225,0.0,0.0,0.020383223728345945
Sample_354,0.021164644801083963,0.04118931585463975,0.2677652840458485,0.0026698356133308277,0.5490208995639646,0.05572143377845843,0.027482766213112752,0.028814650985443134,0.0012565741299562813,0.0,0.0,0.004914595014161661
Sample_356,0.07017508483604004,0.08689462140827241,0.18547213561069884,0.005376972409100118,0.3430243653044797,0.17964681442656466,0.05909406056229436,0.044489631264046856,0.0015979498546044887,0.0,0.006699605070342724,0.017528759253555626
Sample_358,0.049241622512699694,0.05169232804431814,0.10174146774979376,0.004223316582154249,0.47527692889787615,0.12814171587400067,0.08078503699732087,0.05430633236185517,0.016981858140150595,0.0,0.016504266834350897,0.021105126005479674
Sample_360,0.054108907917246936,0.02679082282493097,0.2303052836219446,0.0013258366079610185,0.4882582338243404,0.13621507270508298,0.03377759822319706,0.023455725815019746,5.6293238876971776e-05,0.0,0.0,0.00570622522139923
Sample_362,0.038863709281159516,0.049199870627625174,0.1097213990267919,0.0027471447337631084,0.1838880770299635,0.34437620397743157,0.11649046291295603,0.12204252988439057,0.0009857444521184974,0.0,0.0,0.031684858073800316
Sample_364,0.03537655567193547,0.18553684935190576,0.14037172328555259,0.002048355606969329,0.2551765766395439,0.20612414536907045,0.09388602830936843,0.05008951962578549,0.00010874446795141712,0.0,0.0,0.03128150167191712
Sample_366,0.018203026110633243,0.07960079364249825,0.1788695453678676,0.004228843524277427,0.32548723904943583,0.20817984608635293,0.02744269822248813,0.06632254652291614,0.0,0.0,0.0,0.09166546147353051
Sample_368,0.012211159661657164,0.14128795741053518,0.020362842696150855,0.001960795160379605,0.28854327570897575,0.37937045380096734,0.0786200704515433,0.062239035167661966,0.00014828155585638859,0.0,0.0,0.015256128386272393
Sample_370,0.002474441680392725,0.021374937770423767,0.04095445226459147,0.0002353461461910508,0.04885746100619105,0.5256387073327329,0.02630654049029452,0.3292131123635039,0.000555460540556365,0.0,0.0,0.004389540405122367
Sample_372,0.01407798743322155,0.04106889386539877,0.061189212053505256,0.001937999082343681,0.09810048401721924,0.4631117753840971,0.06652163849823975,0.21952150927902225,0.0009525809879505408,0.0,0.0,0.033517919399001804
Sample_374,0.00575087447608482,0.03725158863806264,0.08207106802314776,0.0011179742656923445,0.12090851342564417,0.47392159689114555,0.07476576330569068,0.1560267595995899,4.222430343630543e-05,0.0,0.0,0.04814363707150566
Sample_376,0.008133338918097768,0.03221577989902132,0.029796932329215077,0.0007456487329240606,0.0704560883358865,0.6136961513629412,0.06720456374815167,0.14231265500491377,7.354027277202116e-05,0.0,0.0,0.03536530139607665
Sample_378,0.0048768016726677315,0.04543598224355102,0.10149193093970516,0.0016708932390390673,0.10251020789645203,0.3760038854248703,0.06583297952831078,0.23592833676607144,0.00013221607200345286,0.0,0.0,0.06611676621732913
Sample_380,0.008510564300420225,0.02971718202870683,0.04367152219684227,0.0005041484837626994,0.06340503020930918,0.5242422075807318,0.07428511381906802,0.1973696207012298,0.00013747118581252234,0.0,0.0,0.058157139494116536
Sample_382,0.004304669000120623,0.03397479937649169,0.06469076676525497,0.000815681677145525,0.07102415853040393,0.47535729323515213,0.0592672055037471,0.2675291815157965,0.0010010194859762522,0.0,0.0,0.022035224909911322
Sample_389,0.005472473394863587,0.041783184469205696,0.05801653448344912,0.0019141575105907907,0.07610905796179353,0.4854381417104329,0.044587464182419184,0.2693772590711137,0.00022444622079029273,0.0,0.0,0.017077280995341292
Sample_391,0.022711945537068515,0.13786090413216387,0.12357024925925329,0.003911608011481992,0.17056592236633572,0.32932906393425754,0.033923840908924134,0.14659755492853926,0.0015552930178066176,0.0,0.0,0.029973617904169025
Sample_393,0.01000673828362892,0.10680389657828834,0.07787537460866134,0.0047026140094442335,0.09217309953354744,0.42562444716222814,0.08842665096878019,0.1845327413687976,0.00035113390532364423,0.0,0.0,0.009503303581300224
Sample_395,0.011937609339647664,0.03800211693546082,0.06290383677438083,0.0024179699540242522,0.12499777530599887,0.3396206145241209,0.12165381950328127,0.2659040488889071,0.001006008183939255,0.0,0.0,0.031556200590239177
Sample_397,0.02237102615646132,0.05281626184771416,0.10283726294919307,0.0031377064170325596,0.12948713217718477,0.5235202068173058,0.026944683994739226,0.10621317166674246,0.0019260883549793986,0.0,0.0,0.03074645961864709
Sample_399,0.02036662901955392,0.045128520478921755,0.07954950946524131,0.0007019626760567947,0.09337120070601311,0.4090709269493576,0.061809960332477765,0.11095392804130115,1.328238683029848e-05,0.0,0.0,0.1790340799442463
Sample_401,0.0070659038165607055,0.04089690496003904,0.08655239919299655,0.0013430907733910649,0.11604471952774015,0.5273813894179126,0.031483673581441884,0.12059148180960139,0.00014614006685120307,0.0,0.0,0.06849429685346532
