Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
PTPN4,11.8955,8.8554,1.343,0.248,0.0334658,0.08927239,0.0062536,0.65123214,0.01298965,3
HAUS6,1.9617,1.3417,1.462,0.453,0.00181757,0.00211878,0.01730734,0.41673557,0.01306196,4
ADAM19,9.4415,15.8546,0.596,-0.593,1.003e-05,8.04e-05,0.00215082,0.4009022,0.01311617,4
ACSF3,14.9077,19.9715,0.746,-0.292,6.883e-05,0.04647828,8.017e-05,0.26208651,0.01312763,4
TMEM14B,4.3725,3.2831,1.332,0.139,0.36936409,0.33886801,0.10358209,0.85451366,0.01314788,1
PYCARD,48.3057,116.2003,0.416,-0.719,1e-08,2.65e-06,6.522e-05,0.55520734,0.01337417,4
MAN2C1,60.4239,91.9939,0.657,-0.419,6.883e-05,0.00442714,0.00025351,0.44942115,0.01340847,4
SNX19,13.7276,20.9485,0.655,-0.381,0.00069939,0.00984967,0.00322292,0.6120509,0.01351494,4
B3GNT5,0.8597,0.6163,1.395,0.301,0.01112592,0.03988582,0.02109114,0.58224117,0.01353308,4
NBPF11,3.1913,2.1338,1.496,0.455,0.00027001,0.00200284,0.00395528,0.32701011,0.01357603,4
INF2,29.4739,41.778,0.705,-0.394,0.00062834,0.00755597,0.00033088,0.55520734,0.01357687,4
ARRDC1,27.4275,43.4204,0.632,-0.621,5.59e-06,3.337e-05,0.00076924,0.85894553,0.01367942,4
PLEKHJ1,9.8445,16.5574,0.595,-0.578,6.02e-06,0.00010397,0.00034359,0.90209945,0.01368662,4
ATP6V0A1,6.8612,10.3002,0.666,-0.464,8.41e-05,0.00172365,0.00025351,0.96729961,0.01372311,4
GPR171,3.3774,1.987,1.7,0.366,0.00271008,0.01264521,0.0023731,0.96729961,0.01377539,4
RIF1,8.2357,6.329,1.301,0.405,0.00273385,0.00591401,0.00863968,0.55520734,0.01378026,4
ATAD1,1.9014,1.4311,1.329,0.155,0.33630556,0.28598074,0.32053802,0.48343223,0.01384413,1
GPR161,0.9316,0.5427,1.717,0.528,0.00204267,0.00036683,0.01899129,0.98909653,0.01384955,4
DZIP1,2.6168,1.3681,1.913,0.541,8.79e-05,0.00027081,0.00427506,0.88048261,0.01388243,4
AKIRIN2,10.1801,17.1722,0.593,-0.524,2.7e-07,0.00041007,2.916e-05,0.816179,0.01393938,4
MDM2,7.2001,12.0247,0.599,-0.434,0.02016466,0.00362881,0.03446721,0.7949782,0.01401296,4
ATXN1,12.8159,20.8261,0.615,-0.405,8.44e-06,0.00627836,0.00027895,0.67117575,0.01405403,4
CDK10,20.5767,29.7323,0.692,-0.426,2.987e-05,0.00382379,6.388e-05,0.73226424,0.01408749,4
CHMP6,2.9121,3.8697,0.753,-0.236,0.03469499,0.10734956,0.00851085,0.77391449,0.01412656,3
AKTIP,4.1027,2.9502,1.391,0.311,0.01218328,0.03379533,0.00292854,0.6120509,0.01413014,4
RALGAPA1,5.9409,4.5144,1.316,0.415,0.00089803,0.00481994,0.03446721,0.00533925,0.01413444,5
CNGA2,1.0557,0.3914,2.697,0.545,8.37e-06,0.00024342,0.00716654,0.14441351,0.01427677,4
B3GAT3,13.7851,19.9941,0.689,-0.423,3.19e-06,0.00401391,6.001e-05,0.1588897,0.01431179,4
SEMA4C,23.3042,33.1479,0.703,-0.425,0.00010031,0.00395998,0.00037038,0.26208651,0.01432343,4
TAC1,1.1752,0.5598,2.099,0.471,0.00018771,0.00141693,0.00384899,0.63062819,0.01443061,4
ALB,2.4023,1.1357,2.115,0.495,4.16e-06,0.00081724,0.00369895,0.61113274,0.01446055,4
CYB561D2,4.0242,6.2834,0.64,-0.369,7.93e-06,0.01200422,0.00034036,0.69133573,0.01446742,4
S1PR5,86.2381,159.5969,0.54,-0.448,1.5e-07,0.00248606,1.802e-05,0.06339176,0.01459302,4
