Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
SSU72,19.6947,33.4667,0.588,-0.442,1.29e-06,0.00279024,0.00010237,1.0,0.27575249,3
ZFR,26.834,29.5215,0.909,-0.08,0.00074122,0.58276442,0.05575549,0.92378602,0.27576297,1
SNX27,5.3861,8.7063,0.619,-0.371,0.00273385,0.01195365,0.03796594,0.53681325,0.27594769,3
IRAK3,10.9637,17.2949,0.634,-0.371,0.00280625,0.01184047,0.23791224,0.51871531,0.27609584,2
GPR52,2.7228,3.7921,0.718,-0.297,0.55310156,0.04313432,0.37210171,0.5928362,0.27612463,1
SUMO4,1.4815,0.6958,2.129,0.276,0.01326322,0.05891783,0.05609801,0.16375483,0.27619984,1
WDR82,11.8574,17.8309,0.665,-0.379,0.00015466,0.01003098,0.00746918,0.53681325,0.27651797,3
NFATC3,62.3897,66.7134,0.935,-0.054,0.01255488,0.7105953,0.24184565,0.41673557,0.27659108,1
N4BP2L1,3.6267,3.7646,0.963,-0.027,0.82424613,0.85186399,0.15814206,0.29995754,0.27659938,0
IPO8,8.2216,7.8436,1.048,0.068,0.62550767,0.64049484,0.73808075,0.29995754,0.27672196,0
ZNF410,6.3329,5.1866,1.221,0.195,0.12454054,0.18106611,0.50362815,0.1129434,0.27673692,0
DDX1,5.3856,6.092,0.884,-0.091,0.86692728,0.53157498,0.40454457,0.816179,0.2768953,0
SPPL2A,3.7629,3.5692,1.054,0.027,0.31792709,0.85138598,0.02338972,0.50091734,0.27703276,1
COG3,6.5943,6.4983,1.015,0.019,0.45563549,0.89752874,0.27280657,0.71170446,0.27743227,0
STK35,2.1126,2.5983,0.813,-0.252,0.00101588,0.08396729,0.01085567,0.92378602,0.277436,2
NUMBL,9.1277,10.6614,0.856,-0.149,0.00039002,0.30545326,0.00182237,0.20613999,0.27779383,2
CCR7,83.467,70.9837,1.176,0.153,0.31025597,0.29181619,0.26852859,0.32701011,0.27791714,0
SESTD1,1.4792,1.5038,0.984,-0.012,0.32180865,0.93675505,0.79817096,0.46626286,0.27792767,0
ZNF200,1.971,2.1321,0.924,-0.044,0.51721586,0.762529,0.14146457,0.25018521,0.27797801,0
LRP8,1.7408,1.9669,0.885,-0.125,0.14314516,0.39303464,0.20104747,0.43290855,0.27808947,0
CAPZB,17.6779,35.7734,0.494,-0.518,1.429e-05,0.00051878,0.00427506,0.88048261,0.2781677,3
SNAP23,4.4553,6.3987,0.696,-0.339,0.00702554,0.02168825,0.41996354,0.02766445,0.27822534,3
CEBPA,46.2818,69.0759,0.67,-0.179,0.00241802,0.22020011,0.02192895,0.41673557,0.27850794,2
SET,7.3509,9.1399,0.804,-0.309,0.00643233,0.03516971,0.08611842,0.94552275,0.27854182,2
CAD,17.7814,18.932,0.939,-0.093,0.09200096,0.52429148,0.0316355,0.67117575,0.2787157,1
UBE2Q1,10.8582,12.6162,0.861,-0.119,0.01274442,0.41443491,0.30870609,0.65123214,0.2787702,1
NDUFB6,1.0749,1.7575,0.612,-0.288,0.23604237,0.04994638,0.64036889,0.05875215,0.27904043,1
NFATC1,36.6946,47.3189,0.775,-0.306,0.00028725,0.03648003,0.00317206,0.90209945,0.27906555,3
VNN2,19.8611,55.7641,0.356,-0.384,0.000402,0.01017435,0.0644559,0.41673557,0.27908255,2
CCNG1,8.8396,6.8678,1.287,0.135,0.3363047,0.35159776,0.4727765,0.44942115,0.27919528,0
SNORD13,6.8379,7.636,0.895,-0.047,0.69310942,0.74571481,0.29459518,0.11803605,0.27922093,0
AQR,7.5374,10.3735,0.727,-0.36,0.0137306,0.01470702,0.55841794,0.57388325,0.27938077,2
PRDM2,18.9986,26.2827,0.723,-0.42,0.00012472,0.00437314,0.00322292,0.67117575,0.27940879,3
TXNRD2,6.3537,7.4556,0.852,-0.147,0.0394023,0.31428818,0.00395523,0.73226424,0.27968136,2
BTRC,2.0702,1.7481,1.184,0.137,0.210777,0.34862319,0.05480664,0.6120509,0.27974338,0
MTHFD2,2.868,3.0548,0.939,-0.053,0.84709206,0.71707433,0.57506679,0.50091734,0.27976519,0
NGF,0.7902,0.4269,1.851,0.378,0.00017195,0.00996907,0.03894565,0.21813743,0.2798636,3
TADA3,38.2882,54.8343,0.698,-0.358,2.476e-05,0.01468938,0.00040663,0.96729961,0.27986876,3
PDK1,7.4811,6.6866,1.119,0.082,0.06096127,0.57608256,0.30405522,0.16766616,0.27987618,0
MAPK13,7.3993,7.4643,0.991,-0.009,0.59568551,0.95159101,0.0286458,0.55520734,0.28003281,1
FCRL3,11.5249,9.4986,1.213,0.188,0.35121581,0.19601061,0.82486548,0.18622027,0.28006743,0
MAP3K4,8.4549,7.5046,1.127,0.202,0.24028747,0.16633179,0.65806741,0.50091734,0.28014306,0
ZDHHC17,7.6035,7.7136,0.986,-0.012,0.31664001,0.93590675,0.20629456,0.69133573,0.28014924,0
THAP6,3.6565,2.5602,1.428,0.231,0.17034366,0.1134429,0.80577309,0.83750782,0.28018607,0
APPL2,5.3021,4.8418,1.095,0.11,0.37363881,0.44920979,0.47886283,0.816179,0.28019302,0
NOL12,11.7247,13.4973,0.869,-0.117,0.01274109,0.42106552,0.00204603,0.81049955,0.28027077,2
GPR132,26.4828,36.4746,0.726,-0.304,1.446e-05,0.03757184,0.00023026,0.85894553,0.28029626,3
PGLYRP1,12.48,22.7537,0.548,-0.39,1.412e-05,0.00842574,0.0062536,0.10635126,0.28044142,3
ABI2,3.6093,2.7498,1.313,0.16,0.38663228,0.27161187,0.23791163,0.816179,0.28052776,0
TADA2B,4.7636,6.7874,0.702,-0.411,0.00025112,0.00522636,0.00067867,0.15044329,0.28062023,3
ELMO1,14.1933,14.8182,0.958,-0.049,0.25887537,0.73663733,0.65451369,0.7949782,0.28102228,0
SAMHD1,93.588,143.8848,0.65,-0.42,1.191e-05,0.0043648,0.0027022,0.73226424,0.28116073,3
PDHX,6.4946,9.7096,0.669,-0.462,0.0013199,0.00183155,0.22263099,0.1960065,0.28116938,2
QSOX1,10.209,12.647,0.807,-0.207,0.00028725,0.15474254,0.00683715,0.73226424,0.28117005,2
PTRH2,1.8447,2.8445,0.649,-0.206,0.1010627,0.16249012,0.12862594,0.90209945,0.28123765,0
BCL2L13,8.6493,12.5907,0.687,-0.334,5.496e-05,0.02284464,0.00537999,0.41673557,0.28133901,3
VTI1B,4.1309,4.8689,0.848,-0.124,0.13954776,0.39416179,0.84405954,0.50091734,0.28148161,0
IMMT,8.361,9.0189,0.927,-0.088,0.16461808,0.54461877,0.40871625,0.48343223,0.28148659,0
CELF2,33.8639,49.0041,0.691,-0.306,0.01735384,0.03760942,0.07832363,0.94552275,0.28164808,2
THADA,8.9067,10.7107,0.832,-0.274,0.0061779,0.06145982,0.01040523,0.20613999,0.28165621,2
NXF1,20.8697,22.033,0.947,-0.057,0.05138523,0.69684308,0.02828977,0.06787552,0.28175825,1
NEK7,5.2282,4.8252,1.084,0.036,0.38955489,0.80251996,0.46974444,0.6120509,0.2823014,0
TLR7,4.0448,5.7511,0.703,-0.388,0.01878012,0.00867851,0.29263261,0.46626286,0.28239251,2
GPD2,2.4689,2.5524,0.967,-0.034,0.22570202,0.8141411,0.04078424,0.35550187,0.28246057,1
DUS1L,17.6684,22.4853,0.786,-0.255,0.0028804,0.08114726,0.01100962,0.85894553,0.28255728,2
RALGAPB,9.2532,8.8813,1.042,0.044,0.54688947,0.76456902,0.66519801,0.67117575,0.28257115,0
VPS72,7.2519,10.459,0.693,-0.412,0.00011435,0.00513009,0.00312192,0.32701011,0.28258114,3
SFT2D2,1.7905,2.4303,0.737,-0.215,0.22266058,0.14440963,0.18918426,0.18622027,0.2826845,0
TTC13,18.0519,21.1178,0.855,-0.062,0.08747442,0.66916847,0.86334665,0.92378602,0.28294506,0
PSMC1,1.4634,0.9572,1.529,0.277,0.05560543,0.05767791,0.08403111,0.43517424,0.28298438,0
LRRK2,17.4322,36.303,0.48,-0.439,3.901e-05,0.00330215,0.00915204,0.50091734,0.28300986,3
PPP3CC,11.8354,12.828,0.923,-0.064,0.79743858,0.66179781,0.90605013,0.370282,0.28305808,0
LRPPRC,17.2473,20.8502,0.827,-0.23,0.00056964,0.11480458,0.00597898,0.44942115,0.28311236,2
FXYD7,1.8463,1.5385,1.2,0.106,0.03385284,0.46871663,1.0,0.12244949,0.28324735,1
DIABLO,2.4141,2.5886,0.933,-0.054,0.68112515,0.71343075,0.51625919,0.48343223,0.28336242,0
ADD3,33.562,35.9134,0.935,-0.069,0.43034089,0.63625128,0.81339834,0.94552275,0.28393425,0
SP100,23.3751,30.4463,0.768,-0.307,0.08079194,0.03654796,0.19589842,0.65123214,0.284048,1
JKAMP,2.5179,3.2253,0.781,-0.227,0.18931543,0.12191953,0.39489991,0.21977833,0.28406155,0
SMC1A,24.4301,26.6067,0.918,-0.091,0.07366878,0.53332008,0.00803537,0.23864024,0.2842976,1
DIS3L2,8.1981,7.4786,1.096,0.106,0.31279932,0.46673264,0.50049595,0.63152163,0.28461667,0
SLC2A3,19.0385,29.4569,0.646,-0.367,0.00016666,0.01252857,0.01849656,0.48343223,0.28466361,3
DPYSL2,23.6295,39.4081,0.6,-0.472,2e-08,0.00138196,6.257e-05,0.71170446,0.28475742,3
ZDHHC6,3.3307,4.6883,0.71,-0.297,0.05703577,0.04248638,0.03163528,0.50091734,0.28475902,2
RAB18,4.7826,6.1963,0.772,-0.184,0.36372181,0.20866748,0.19251982,0.55520734,0.28479175,0
GP9,27.9623,44.5951,0.627,-0.279,2.918e-05,0.05675696,0.00876531,0.43290855,0.2849366,2
ABCD2,4.2849,3.4588,1.239,0.213,0.06023143,0.14361342,0.31340376,0.57388325,0.28504164,0
EIF2S2,6.0395,7.7041,0.784,-0.156,0.01710498,0.28461492,0.39765026,0.48343223,0.28535516,1
ZNF33B,7.7093,7.3294,1.052,0.042,0.19293848,0.77164011,0.16253536,0.44942115,0.28539704,0
AGPAT2,18.6705,30.0215,0.622,-0.364,5.66e-06,0.01318555,0.00261623,0.41673557,0.28553166,3
ATP13A1,34.2608,42.095,0.814,-0.275,0.00147427,0.0599777,0.00188412,0.1960065,0.28579466,2
HDC,5.2739,7.9907,0.66,-0.099,0.0647212,0.49939902,0.87883578,0.16766616,0.2858067,0
ZNF292,6.7263,6.3877,1.053,0.056,0.78923637,0.70210855,0.8095847,0.18622027,0.2858817,0
ATP6V1B2,12.284,24.0308,0.511,-0.412,0.00034536,0.00553921,0.02430613,0.98909653,0.28591021,3
WDR81,1.9276,2.1501,0.897,-0.086,0.12519421,0.55577043,0.15383929,0.10004523,0.28649162,0
GALNT1,3.5456,4.7787,0.742,-0.246,0.06948361,0.09320801,0.20278557,0.73226424,0.28685474,0
ZNF18,2.2944,2.9958,0.766,-0.259,0.03715123,0.07618658,0.16772995,0.83243291,0.28699036,1
TCP1,26.4877,29.3284,0.903,-0.08,0.04919859,0.58173348,0.08000424,0.48343223,0.28699057,1
CLEC4A,3.4623,4.2989,0.805,-0.088,0.00214462,0.54233369,0.02150054,0.66193088,0.28702938,2
PTPN23,21.7103,25.9462,0.837,-0.232,0.00178503,0.1120633,0.0054621,0.88048261,0.28705755,2
ADM,2.1854,4.3653,0.501,-0.35,0.27315592,0.0184885,0.30287773,0.26208651,0.28707224,1
RRAS,8.5706,16.8719,0.508,-0.461,0.00014582,0.00196513,0.01040523,0.34107567,0.28721503,3
UTP23,5.0353,4.4057,1.143,0.118,0.01613793,0.41889964,0.26011083,0.23042007,0.2872323,1
ILF3,36.9152,41.7431,0.884,-0.151,0.00785138,0.29983223,0.00274615,0.35550187,0.28730864,2
RNF34,7.0191,10.5141,0.668,-0.514,0.00027281,0.00053844,0.1035839,0.69133573,0.28745537,2
SRGN,44.982,106.8882,0.421,-0.466,2.4e-07,0.00186636,0.00020902,0.816179,0.28745544,3
FKBP15,13.1792,17.5627,0.75,-0.387,0.00085617,0.00856918,0.04326643,0.5928362,0.28748558,3
SLBP,2.8378,4.8207,0.589,-0.453,9.647e-05,0.00222758,0.0116412,0.25915771,0.28775783,3
WDR70,17.1343,11.5321,1.486,0.261,0.45082999,0.07360556,0.67954989,0.83750782,0.28781623,0
ENOSF1,6.1503,4.7785,1.287,0.202,0.27843667,0.16453602,0.71593153,0.5928362,0.28783324,0
RAB9A,2.31,3.4861,0.663,-0.256,0.96286972,0.08123376,0.61589787,0.54411975,0.28789035,0
SOD2,20.2405,72.5776,0.279,-0.365,0.00408952,0.01441678,0.03842382,0.385418,0.28792787,3
KLF5,1.4806,1.1662,1.27,0.162,0.38663165,0.26522128,0.57171781,0.48343223,0.28847055,0
USPL1,4.2187,3.9316,1.073,0.087,0.1670555,0.55032557,0.04695502,0.51871531,0.28851005,1
TMC8,174.1991,186.3913,0.935,-0.079,0.01602345,0.58435968,0.00148929,0.27434987,0.28851241,2
C1GALT1,3.3844,3.262,1.038,0.045,0.52933272,0.75843914,0.53551054,0.34107567,0.28856392,0
STAG2,14.0463,19.2065,0.731,-0.342,0.05202473,0.02037016,0.10999486,0.85894553,0.28886862,1
ZBTB33,2.9251,3.0748,0.951,-0.051,0.3505289,0.72387955,0.44592501,1.0,0.28896367,0
LNX2,2.1057,2.2146,0.951,-0.036,0.60865307,0.80649778,0.31814823,0.16766616,0.28898824,0
WWP1,8.5962,7.9383,1.083,0.106,0.61051579,0.46661136,0.32777761,0.46626286,0.28916774,0
SECISBP2L,7.4445,6.0453,1.231,0.124,0.76883462,0.3926085,0.41151113,0.96729961,0.28938574,0
USP38,5.0069,6.7274,0.744,-0.296,0.00250466,0.04363524,0.02690352,0.90209945,0.28944765,3
U2AF2,47.4308,60.1451,0.789,-0.28,0.00322282,0.05579457,0.00746918,0.63152163,0.28951211,2
B4GALT7,13.3171,16.9828,0.784,-0.246,1.412e-05,0.09239376,0.00070348,0.83750782,0.29004858,2
ERAP2,12.7857,11.4452,1.117,0.099,0.21371258,0.49402756,0.11902584,0.67117575,0.29006183,0
ACTN1,52.4658,81.463,0.644,-0.402,0.00019743,0.00643409,0.01100962,0.90209945,0.29009617,3
ZFAND6,17.0753,39.4476,0.433,-0.414,4.038e-05,0.00536349,0.0316355,0.75300697,0.29031096,3
MKLN1,7.1925,9.7989,0.734,-0.26,0.15982373,0.07677994,0.17159723,0.85894553,0.29036334,0
CHKB,2.3813,4.1783,0.57,-0.306,0.10272544,0.03855858,0.14345387,0.370282,0.2905209,1
UFC1,12.8709,23.3534,0.551,-0.432,0.00081222,0.00351141,0.01575527,0.73226424,0.29086095,3
NOTCH2,62.0279,91.0858,0.681,-0.413,8.34e-06,0.00500554,0.00082592,0.83750782,0.29136294,3
EEPD1,3.1827,5.8176,0.547,-0.346,0.03436087,0.02007117,0.11671536,0.41673557,0.29140384,2
NSA2,2.5494,2.6508,0.962,-0.031,0.7974355,0.83263953,0.19251402,0.70332965,0.29144119,0
PEPD,10.7103,15.4448,0.693,-0.4,0.00028431,0.0066512,0.00725291,0.65123214,0.29152351,3
ENY2,1.0897,1.1929,0.913,-0.056,0.60761413,0.69978628,0.07331693,0.72436045,0.29176902,0
ZRANB1,3.74,4.5973,0.814,-0.253,0.01637708,0.08338049,0.14414618,0.04428548,0.29185464,2
DFFB,1.975,1.8456,1.07,0.052,0.20264363,0.72177486,0.57170075,0.77786987,0.29204133,0
SLC8A1,7.7696,10.948,0.71,-0.295,0.01236785,0.04448895,0.06734826,0.85894553,0.29206691,2
TGM2,1.1432,0.9183,1.245,0.172,0.1703467,0.23886092,0.02724366,0.46626286,0.29207098,1
HDAC8,1.7395,1.1886,1.463,0.311,0.04095332,0.03335164,0.22827698,0.21977833,0.29208049,2
CBWD1,3.0799,2.7882,1.105,0.076,0.84917566,0.60244402,0.56504931,0.85894553,0.29228481,0
CCNL2,25.756,26.5157,0.971,-0.031,0.28437663,0.83308591,0.08171403,0.90209945,0.29232114,0
FCGR2A,106.3982,261.2773,0.407,-0.506,6.7e-07,0.00074332,0.00348857,0.55520734,0.29232489,3
ARF4,1.4509,1.3979,1.038,0.024,0.10051182,0.86696119,0.0174749,0.92119817,0.29263574,1
RABIF,1.4724,2.154,0.684,-0.282,0.02681358,0.05477574,0.01662646,0.75300697,0.29271278,2
EPN1,13.4085,22.4543,0.597,-0.462,5.373e-05,0.00183752,0.00597898,0.67117575,0.29282767,3
PPP1R16B,4.5744,5.3796,0.85,-0.191,0.03324517,0.19005923,0.02338972,0.92378602,0.29312901,2
ZNF652,4.3314,9.2136,0.47,-0.367,6.1e-07,0.01363115,0.00109356,0.98909653,0.29326068,3
STAT1,32.5105,46.9913,0.692,-0.387,0.00104504,0.00866238,0.06958692,0.31330231,0.29344397,2
LNPEP,14.5388,18.3185,0.794,-0.235,0.00345157,0.10802822,0.00332688,0.69133573,0.29347255,2
ULK4,6.9738,5.9984,1.163,0.215,0.11566619,0.14147306,0.75670691,0.25018521,0.29349717,0
PLA2G6,11.6519,14.4554,0.806,-0.199,0.00140803,0.1723546,0.004478,0.48343223,0.29350145,2
WASH7P,1.0384,1.2168,0.853,-0.101,0.14610957,0.48918049,0.06589919,0.12612824,0.29363562,0
ABCC5,7.5683,8.6852,0.871,-0.212,0.0027101,0.14654355,0.00179219,0.55520734,0.29366931,2
PPIF,9.814,14.7133,0.667,-0.318,2.59e-06,0.02993863,0.00085567,0.28697196,0.29393746,3
GMPPA,7.7124,10.5643,0.73,-0.278,0.00495416,0.05803082,0.01512848,0.75300697,0.29460127,2
ZNF223,2.2995,1.7456,1.317,0.21,0.22569768,0.15040601,0.48485892,0.80939648,0.29489437,0
USP33,8.977,8.9492,1.003,0.004,0.90157086,0.97808068,0.66519801,0.57388325,0.29507521,0
SLC46A2,11.4279,18.8734,0.606,-0.339,1e-08,0.02074869,1.686e-05,0.44942115,0.29538721,3
PARP6,8.0232,8.1352,0.986,-0.015,0.03889685,0.92032318,0.39765026,0.5928362,0.29567199,1
PRDX5,9.0174,17.3834,0.519,-0.444,4.33e-06,0.00284608,0.00065463,0.65123214,0.2959417,3
CCNH,11.9315,11.1863,1.067,0.062,0.29898029,0.67123741,0.33512247,0.83750782,0.29618774,0
TRAPPC1,30.8324,63.9979,0.482,-0.411,0.00041851,0.00562116,0.02001752,0.63152163,0.29620109,3
ADRM1,24.1065,38.0047,0.634,-0.439,0.00088106,0.00314359,0.05208296,0.94552275,0.29646975,2
IFRD1,1.9025,3.0649,0.621,-0.277,0.51893429,0.06141387,0.73807943,0.89898534,0.29659181,0
ASB8,8.8978,11.4304,0.778,-0.202,0.01318013,0.1650687,0.0052191,0.85894553,0.29668727,2
NDFIP1,5.1168,5.2313,0.978,-0.024,0.93534524,0.86937008,0.60218262,0.385418,0.29678558,0
BTN2A1,20.0855,26.9452,0.745,-0.349,0.00254904,0.01759747,0.00103796,0.1129434,0.29689996,3
YTHDF1,13.1404,17.7175,0.742,-0.312,0.00119163,0.03365219,0.00693903,0.816179,0.29694201,3
CLEC17A,3.3815,4.4503,0.76,-0.248,0.32441383,0.09101248,0.13621653,0.4009022,0.29715434,0
TRIM58,2.6071,3.8349,0.68,-0.323,0.00323668,0.02801801,0.02164652,0.44942115,0.29736957,3
CLASP2,9.5786,9.8344,0.974,-0.044,0.15436465,0.76052055,0.7343735,0.816179,0.29838401,0
TNFRSF10A,11.0787,12.7442,0.869,-0.141,0.00113723,0.33165401,0.00134469,0.83750782,0.29851187,2
SNAP29,3.4377,3.5387,0.971,-0.019,0.38372143,0.89645457,0.73808075,0.94552275,0.29871238,0
EPHB1,3.2071,2.8762,1.115,0.094,0.0341352,0.52120518,0.06374906,0.77391449,0.29912866,1
STYX,4.689,5.4998,0.853,-0.135,0.45242862,0.35698867,0.47886283,0.1588897,0.2995833,0
DOCK2,47.9737,72.5723,0.661,-0.456,0.00013745,0.00206591,0.00537999,0.71170446,0.29991051,3
DPF2,9.0841,10.0348,0.905,-0.087,0.00306041,0.54868048,0.02793756,0.98909653,0.30019604,2
COL9A2,2.5842,2.7586,0.937,-0.072,0.20933512,0.62245383,0.16626074,0.28697196,0.30021378,0
TBXAS1,31.0152,54.2784,0.571,-0.486,1.177e-05,0.00103471,0.00225946,0.88048261,0.30023374,3
ARAP2,12.7967,13.0208,0.983,-0.02,0.91421871,0.89080634,0.62288984,0.35550187,0.30035421,0
SIPA1,104.249,132.1413,0.789,-0.301,0.00020592,0.03934777,0.00461811,0.65123214,0.30064005,3
FTL,1603.726,2927.1503,0.548,-0.487,2e-08,0.00098568,6.522e-05,0.5928362,0.30075367,3
LZTR1,4.9366,5.756,0.858,-0.129,0.22774399,0.3748099,0.18589092,0.85451366,0.30090398,0
HSPB1,32.5743,50.5966,0.644,-0.317,0.00719563,0.03143889,0.04176225,0.48343223,0.30120541,3
CHMP2B,0.9557,1.2412,0.77,-0.254,0.41342241,0.08424033,0.17546297,0.46626286,0.30125275,0
PSMD11,7.3821,6.9343,1.065,0.058,0.99257257,0.68836234,0.26011145,0.7949782,0.30148354,0
SH3BGRL,5.3138,8.8582,0.6,-0.401,0.00685882,0.00675485,0.15669725,0.6017555,0.30159571,2
VPS45,7.3813,11.6083,0.636,-0.226,0.32834695,0.12393848,0.12986936,0.85894553,0.30164945,0
MLKL,9.4189,12.3147,0.765,-0.311,0.00150156,0.03387807,0.00215082,0.7949782,0.30242307,3
HOOK3,5.9141,6.5119,0.908,-0.14,0.07627732,0.33545933,0.88271555,0.85894553,0.30260977,0
LY86,8.4146,14.6125,0.576,-0.421,3.317e-05,0.0043284,0.01874219,0.98909653,0.30269105,3
SLAIN2,12.3955,11.9532,1.037,0.025,0.11752474,0.86089978,0.84790988,0.21662026,0.30270724,0
BRWD3,9.8337,10.1743,0.967,-0.042,0.84188771,0.77158411,0.84790988,0.85894553,0.30276919,0
GPBP1,9.0207,10.5699,0.853,-0.153,0.64256033,0.29622409,0.61249754,0.69133573,0.3028551,0
FAM172A,4.9333,5.0438,0.978,-0.016,0.71259594,0.91048237,0.94119831,0.53681325,0.30306479,0
GSTM4,6.6219,5.1871,1.277,0.228,0.01038782,0.11825921,0.12137202,0.77391449,0.30351638,1
GLRX3,5.1985,5.4834,0.948,-0.041,0.84084774,0.77630823,0.96077913,0.35550187,0.30355709,0
SNORA5A,15.2746,5.6405,2.708,0.22,0.03048814,0.13087921,0.05208173,0.85894553,0.30357287,1
FAM120AOS,2.13,2.7402,0.777,-0.264,0.24242413,0.07281257,0.41431732,0.816179,0.30415629,0
RBMX,12.8342,13.9005,0.923,-0.082,0.89525608,0.57505936,0.56172889,0.48343223,0.30425973,0
UCK1,25.3692,31.1195,0.815,-0.177,0.00029322,0.22484477,0.0092843,0.53681325,0.30451663,2
PARP4,16.3978,23.5624,0.696,-0.462,0.00092404,0.00182213,0.01777473,0.370282,0.30460496,3
EAF2,8.0027,7.3441,1.09,0.122,0.72452813,0.40286232,0.52263657,0.94552275,0.30473621,0
FLI1,30.6817,48.9312,0.627,-0.499,1.345e-05,0.00075506,0.00955394,0.69133573,0.30514023,3
ZNF24,3.0939,2.9673,1.043,0.041,0.92900181,0.77895878,0.99607635,0.43290855,0.30530671,0
TGS1,1.9659,1.7265,1.139,0.11,0.253231,0.45035974,0.41849677,0.68241839,0.30534142,0
MAPK9,2.3747,3.2077,0.74,-0.266,0.39840672,0.07076841,0.84405553,0.75300697,0.30553255,0
SNX9,3.2287,1.9073,1.693,0.222,0.424147,0.12684872,0.57506679,0.07259907,0.30556517,0
INPP5B,7.616,6.4769,1.176,0.188,0.47514299,0.19763583,0.98430634,0.69133573,0.30599245,0
NPC2,44.2796,98.812,0.448,-0.529,1e-08,0.0003725,0.00025842,0.85894553,0.30600282,3
OLA1,2.9326,3.3778,0.868,-0.13,0.13532251,0.37511193,0.36816103,0.92378602,0.30606818,0
NAPA,18.3477,30.6939,0.598,-0.39,0.00034186,0.00828237,0.01640479,0.6120509,0.30632612,3
PLIN2,5.9355,8.1507,0.728,-0.303,0.00876314,0.03876781,0.10999486,0.25018521,0.30634363,2
LCMT1,9.5633,14.0584,0.68,-0.358,0.00049109,0.01505329,0.03446721,0.816179,0.30649765,3
STAR,0.6786,0.4391,1.545,0.369,0.00682759,0.0118312,0.04693893,0.13122541,0.30668843,3
UBE2E3,19.3661,20.7508,0.933,-0.067,0.00708183,0.64627027,0.36036414,0.83750782,0.30691142,1
CDC73,10.9467,10.6515,1.028,0.041,0.57556668,0.77665075,0.5194431,0.34107567,0.30707531,0
VCPIP1,6.712,9.4663,0.709,-0.364,0.000458,0.01333882,0.01554385,0.35550187,0.30728497,3
VDAC2,17.0397,21.7223,0.784,-0.193,0.00876314,0.1851461,0.03010877,0.63152163,0.30754199,2
SNHG12,14.4912,8.0477,1.801,0.156,0.74859171,0.28335857,0.04861498,0.20613999,0.30794159,1
MIDN,35.4448,49.5517,0.715,-0.367,0.00027281,0.01254461,0.0044094,0.17677365,0.30794491,3
LAMP3,1.5931,1.1834,1.346,0.247,0.05431561,0.09112694,0.04587508,0.13451295,0.30864314,1
ACER3,1.2252,1.264,0.969,-0.022,0.42723658,0.88026413,0.75296965,0.53681325,0.30876255,0
CIITA,68.8034,78.3114,0.879,-0.138,0.02209718,0.34261094,0.02656626,0.53681325,0.30877552,2
ALG8,3.8578,3.0002,1.286,0.142,0.62362348,0.32801337,0.28370401,0.89898534,0.30881809,0
ZNF414,7.372,6.6108,1.115,0.073,0.02304215,0.61506157,0.0009022,0.15044329,0.30884785,2
FOSL2,12.4074,21.8289,0.568,-0.453,1.57e-06,0.0021484,0.00141529,0.816179,0.30888747,3
CACYBP,4.8163,4.0232,1.197,0.169,0.76274447,0.24515617,0.86721425,0.4009022,0.30896379,0
BRD3,6.4998,7.9583,0.817,-0.204,1.446e-05,0.16160438,0.00029535,0.46626286,0.30905035,2
RNF216,14.5045,16.0994,0.901,-0.135,0.02736707,0.35308649,0.03662004,0.28697196,0.30931389,2
RNGTT,4.3473,4.6465,0.936,-0.041,0.13462882,0.77857809,0.2116404,0.25018521,0.30948753,0
BASP1,6.3896,10.3557,0.617,-0.275,0.04201619,0.06131972,0.18426108,0.34107567,0.30955471,1
LGALS3,27.3248,51.962,0.526,-0.401,4e-08,0.0064717,0.00020902,0.65123214,0.3097747,3
CD86,5.3201,8.7295,0.609,-0.439,0.00048623,0.00299,0.09847099,0.816179,0.31021509,2
TMEM176B,19.0324,28.477,0.668,-0.214,0.03481602,0.14203411,0.44299603,0.73226424,0.31042594,1
SOCS3,7.4441,10.8774,0.684,-0.247,0.0345878,0.09375867,0.11444026,0.71170446,0.3107197,1
NLRC4,7.7297,11.8095,0.655,-0.375,0.00058095,0.01062255,0.0651692,0.816179,0.31090711,2
ACOT9,2.2093,3.2576,0.678,-0.349,0.1349755,0.01790355,0.31104907,0.88048261,0.31163112,1
TBC1D2,12.6089,18.381,0.686,-0.376,7.5e-07,0.01039064,0.00095105,0.6120509,0.31189862,3
TFEC,4.852,3.0332,1.6,0.204,0.10963735,0.16020577,0.03706384,0.5928362,0.31207539,1
NAA30,0.7805,0.9048,0.863,-0.153,0.01478357,0.2937135,0.05032394,0.43290855,0.31219693,1
LDB1,31.9831,41.9663,0.762,-0.316,0.00048623,0.03076531,0.00483572,0.96729961,0.31258747,3
ZC3H6,4.2394,4.1394,1.024,0.023,0.36512836,0.87286647,0.84021293,0.65123214,0.31311868,0
CYB5R4,4.5282,8.9785,0.504,-0.311,0.021943,0.03576949,0.41151113,0.92378602,0.31312488,2
RABGGTB,4.164,3.5589,1.17,0.121,0.09200096,0.40535369,0.24984922,0.51871531,0.31321061,0
CCDC115,3.7303,4.2897,0.87,-0.176,0.01722901,0.22856084,0.02136726,0.75300697,0.31362937,2
ZNF484,2.9043,2.6347,1.102,0.096,0.57194348,0.50993062,0.54526978,0.83750782,0.31389355,0
