p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
0.00016222414753806603,0.0014296139379191472,0.09475156997322778,0.243912822458002,Eosinophils,0.00019172138757187564,NO,TMEM67
0.31862474187849105,0.0740019641086602,0.008268604221308316,0.4377324052804277,Basophils,1.5857804948449775e-06,SI,SNHG8
0.7145566729278642,0.8886372831913839,0.40617567978066255,-0.08808769682069102,Mast_cells,0.0010291526297941025,NO,RGS9BP
0.3868395976275082,0.941089512065678,0.17355623962228123,-0.2600397733997135,Mast_cells,7.451119334858776e-05,NO,OR5W2
0.00024786884537333833,0.0001614406416334726,0.001767412623403469,0.46235257522935563,T_cells_CD4,0.01185043757594141,SI,MS4A4E
0.020714647633373343,0.029719408028270215,0.44692393303720035,-0.12680845451421974,Mast_cells,0.1293584757686545,NO,FMNL1-DT
5.037760539707809e-06,0.0002642863914606867,0.006591304908058451,0.2514170812357126,Mast_cells,0.0008658650346131047,SI,NRIP3
0.006075598006442067,0.03803661937791113,0.41349507413519987,0.077938201048263,Mast_cells,0.0011846193108000977,NO,ASAH2B
5.407643270600703e-06,0.0008050738022769728,0.21658697487523934,0.15495979876388533,Mast_cells,1.897207124310042e-07,NO,MYH2
0.37558712973740305,0.41015665519475175,0.2900598129093974,0.18581447184562067,NK_cells,0.018108617799974167,NO,RMND5B
0.000806749878265807,0.03846939338116814,0.8685011256085008,0.03224790710203993,T_cells_CD8,8.881549316158461e-06,NO,ALKBH7
0.15689894499306142,0.9028010014780361,0.95199351551159,-0.01138118827248131,Platelets,0.018704884970829196,NO,MTSS2
0.11241246910196094,0.21029261295981075,0.008528698247763554,0.38053134776507824,T_cells_CD8,8.974196122468026e-05,SI,NKTR
0.9833425108775945,0.5269905235067857,0.0611978026590751,0.3897588453211197,Basophils,0.00039191611011989976,NO,SNX22
0.0029054304441146588,0.010898846899539391,0.6465178142310916,0.040157576429431824,Mast_cells,0.0008669872261008885,NO,PCARE
0.00017828520317875844,0.004275431454979453,0.2387270413226132,0.14158323101990844,Basophils,0.005413277347296668,NO,DDX25
0.46425907671720335,0.7928798566417027,0.5267610967552833,-0.02872951933710863,Eosinophils,0.07288607421568741,NO,DISC2
1.996367613493734e-07,1.6935999128696975e-05,0.005087317518341896,-0.460338381379367,Eosinophils,0.006220341609096294,SI,SPHK2
0.11441124113287679,0.8015958306242166,0.21655383105113857,0.24382643581213395,T_cells_CD8,2.2985874982100537e-06,NO,SDHD
0.15238761372408796,0.3979336398824644,0.8294153294346727,-0.03149603316872927,Mast_cells,0.00016985590277965852,NO,RP11-561N12.5
0.007254545565813873,0.0170657447738975,0.12791881525717733,0.16524540445996716,Mast_cells,0.0007535521608495239,NO,LIN28A
0.04524245992903695,0.008356701592716472,0.0089815368263881,0.34085531340699454,Basophils,0.04953618691631373,SI,ETV2
0.004857140180443178,0.026355236082708535,0.3387513353208766,0.13507655655748946,Mast_cells,2.019471756037688e-06,NO,KRT81
0.00010363435523684002,0.001613703386839988,0.09156669062875936,0.2490423793810055,Eosinophils,0.0010855789167211782,NO,AMOT
0.012199142605027127,0.11282026895049053,0.8184976719063628,0.028688702289291743,T_cells_Treg,0.04847458732225233,NO,ANKRD37
1.1731559526825671e-07,0.00017638113447145695,0.11380450876660017,0.15598988185561574,Mast_cells,0.00013482664230199165,NO,P3H2
5.3811839279578076e-05,2.636222356020905e-05,0.0033116794773226724,-0.5086470578445923,Platelets,0.016590616881697433,SI,SH3RF3-AS1
