gene_id,log2FC,p_value,p_adj,gene_symbol
8096899,-0.0759310407960205,0.0038887756973141,0.5057001490554077,C4orf32
8072382,0.2748647661691521,0.0048323634836486,0.5057001490554077,OSBP2
8150439,0.2939137233830831,0.0035881888031867,0.5057001490554077,ANK1
8176297,0.0765633870646773,0.00457611062886,0.5057001490554077,SHOX
8024062,-0.4162518348258697,0.0036083317412142,0.5057001490554077,CFD
7895822,-0.3208763562189052,0.004912795672063,0.5057001490554077,
8096130,0.0711714228855724,0.0044517452212936,0.5057001490554077,CDS1
8025998,-0.1350121711442788,0.0044463356106176,0.5057001490554077,ZNF136
8155699,-0.1163331502487547,0.0045535553075262,0.5057001490554077,FXN
7945539,0.0874112776119409,0.0046280826277203,0.5057001490554077,SLC25A22
8014591,0.1047289791044789,0.0050333368713462,0.5057001490554077,HNF1B
7893234,0.1938764457711448,0.004836574423708,0.5057001490554077,
8013309,0.0922297074626845,0.0043650166307551,0.5057001490554077,SLC5A10
8042115,0.0894070328358198,0.0034644188899724,0.5057001490554077,
8105681,-0.0953207442786112,0.0043078986890607,0.5057001490554077,ERBB2IP
8166784,0.3562296497512447,0.004065548445797,0.5057001490554077,TSPAN7
8042324,-0.1252564696517399,0.0046598804293551,0.5057001490554077,
8037835,0.2582009651741312,0.0044881853428037,0.5057001490554077,SLC1A5
8097373,-0.0822627184079607,0.0040386124641941,0.5057001490554077,C4orf29
8029399,-0.1399450328358211,0.004105532079596,0.5057001490554077,ZNF226
7893284,-0.2817557512437805,0.0042165292723356,0.5057001490554077,
7946041,0.1808019601990036,0.0044310620402023,0.5057001490554077,HBD
8029413,-0.105099138308458,0.0037592357154351,0.5057001490554077,ZNF227
7964602,0.102536222885571,0.0043994049290028,0.5057001490554077,LRIG3
8059081,0.1323499880597021,0.0038953401087894,0.5057001490554077,SLC23A3
8038942,-0.1808698149253738,0.0051010062917373,0.5057001490554077,ZNF432
8177955,-0.1373699621890551,0.0046120070008228,0.5057001490554077,MICB
7893442,-0.2826334965174144,0.0049976543178632,0.5057001490554077,
8156935,-0.1109401910447749,0.0036819794152237,0.5057001490554077,ZNF189
7972336,0.0589363223880603,0.00456099464365,0.5057001490554077,DZIP1
7896295,-0.218787237810945,0.0035534631687174,0.5057001490554077,
8067409,0.0742588338308465,0.0043886357494858,0.5057001490554077,LAMA5
7936567,-0.1056661074626852,0.0046425720559544,0.5057001490554077,RAB11FIP2
7972247,0.0549137373134325,0.0050735784784856,0.5057001490554077,SP3P
7943231,-0.2130826208955225,0.0050470234555744,0.5057001490554077,ANKRD49
7948643,0.2129738746268668,0.0040044013415546,0.5057001490554077,RAB3IL1
8178442,0.1030423243781086,0.0038073897830223,0.5057001490554077,CDSN
8086607,0.3979859502487564,0.005103019794054,0.5057001490554077,LTF
7957338,0.090364788059702,0.0043144016864664,0.5057001490554077,SYT1
8144516,-0.1432339024875606,0.0045290904599253,0.5057001490554077,ERI1
7965486,-0.14817097114428,0.0038294340782806,0.5057001490554077,CCDC41
8133057,-0.2460496796019891,0.0043115783820714,0.5057001490554077,ZNF138
7894635,-0.1497824815920392,0.0045300633161249,0.5057001490554077,
7965436,-0.1739099741293532,0.0041764817912383,0.5057001490554077,EEA1
8063478,0.2238329870646751,0.0043541558521353,0.5057001490554077,C20orf108
8097938,0.1071034189054715,0.0045829624523785,0.5057001490554077,NPY2R
8128818,0.1110626825870646,0.0035406837766948,0.5057001490554077,WASF1
8117207,0.1822591721393029,0.0043753783787556,0.5057001490554077,ALDH5A1
8106743,0.1627856636815927,0.0050058104676894,0.5057001490554077,VCAN
7952953,0.145453329353236,0.0037004335328995,0.5057001490554077,WNK1
7894212,-0.1141712179104494,0.0050299866056,0.5057001490554077,
7922108,0.1012886865671642,0.0047604387243296,0.5057001490554077,GPR161
8101780,-0.1392501830845782,0.0037007432773129,0.5057001490554077,HPGDS
7896605,0.1292929552238764,0.0042629890707349,0.5057001490554077,
8039996,0.0718372139303493,0.0037807450225096,0.5057001490554077,TPO
7928838,0.0756016995024877,0.0041948445894058,0.5057001490554077,LDB3
8155414,-0.2619147681592046,0.0047083305240217,0.5057001490554077,ANKRD20B
7938485,0.1568522587064702,0.0043857683728362,0.5057001490554077,MICAL2
7893155,-0.2508994089552239,0.0047147812201735,0.5057001490554077,
8038981,-0.1326783880597029,0.0049611780812016,0.5057001490554077,ZNF611
7985402,-0.1226049830845781,0.0044461861338516,0.5057001490554077,UBE2Q2P3
8007112,0.1544703621890537,0.003686175368917,0.5057001490554077,KRTAP4-7
8032815,0.2337407064676604,0.0041811044860439,0.5057001490554077,UBXN6
7969288,0.5321107582089546,0.0046325839567964,0.5057001490554077,OLFM4
7971417,0.076632610945273,0.0049850460641962,0.5057001490554077,
7925448,-0.1388722447761194,0.0042729428899767,0.5057001490554077,
8032037,0.0977111203980092,0.0045087366696196,0.5057001490554077,SHC2
8080028,0.0831015502487559,0.0034691099296737,0.5057001490554077,DOCK3
7987634,0.0798285432835816,0.0050033662870962,0.5057001490554077,
8128683,0.1214835343283589,0.0048926767814378,0.5057001490554077,SNX3
8009929,0.1982631542288562,0.0042305537364437,0.5057001490554077,LOC643008
7922250,-0.0749660815920396,0.0049333426997726,0.5057001490554077,SCYL3
8044548,0.0903979402985095,0.0047826605609566,0.5057001490554077,IL1F6
8024637,0.0992103761193998,0.0035405265398446,0.5057001490554077,FZR1
