gene_id,log2FC,p_value,p_adj
8168062,0.11298000597014823,0.00046248420929691594,0.28884943619384734
8144621,0.10777338507462719,0.0004684466935299803,0.28884943619384734
8094240,-0.23210468457711464,0.0004632443118712457,0.28884943619384734
8014704,0.3619830089552236,0.00045133885236309213,0.28884943619384734
7894389,0.2432748656716388,0.0005004224561099279,0.3029557549289503
8013307,0.1600710248756183,0.0005373536728951459,0.31950473654267275
8015735,0.10575252139303437,0.0005578335975012375,0.32586289992980183
8067798,0.11236131741293498,0.0005786897636929865,0.3322178114083685
7939879,-0.2536180676616917,0.000612580838887672,0.3399517365407136
7976080,-0.21678356417910294,0.0006096665917086455,0.3399517365407136
7921012,0.09560752238806014,0.0006258064278801619,0.3415979775266516
8145193,0.09699389452736185,0.000672059729628173,0.3419939727413373
8147123,0.1097481134328353,0.0006823939842241412,0.3419939727413373
7896714,-0.24654109452736428,0.0006841462633594045,0.3419939727413373
8102745,-0.09438462885572108,0.0007087000065817424,0.3419939727413373
7932530,0.16210039800995268,0.0007086702415721438,0.3419939727413373
7895757,-0.17152544477612075,0.0006983369282789281,0.3419939727413373
7894598,-0.1675682348258718,0.0006392052974234965,0.3419939727413373
8020684,-0.3915869293532337,0.0006562392576305185,0.3419939727413373
7911229,0.3914717731343256,0.0007450170918887679,0.3435485871461503
7911231,0.3914717731343256,0.0007450170918887679,0.3435485871461503
8170520,0.10898525373134316,0.0007245622900780823,0.3435485871461503
7970388,-0.3281922288557233,0.000753192385550319,0.3435485871461503
8168412,-0.31941069850746295,0.0007841370454916047,0.35282988113154
7979615,0.29935359800995087,0.0007949236326179042,0.35291429593704476
7958819,-0.11902238009950139,0.0008261649325201334,0.36195807576477473
8078227,0.13945122786069675,0.0008483455306937014,0.36684884591569056
7996807,-0.16085915223880765,0.000982599225219212,0.36826580135871556
7973972,0.11884464477612067,0.0009310038846024602,0.36826580135871556
7894824,0.2643410686567176,0.0011204893480081476,0.36826580135871556
7899534,0.14985994029850858,0.000993163609942849,0.36826580135871556
7910241,0.23775138109452953,0.0010711829399314325,0.36826580135871556
8120251,0.19713547661691244,0.000958408183483929,0.36826580135871556
7893855,0.2267513691542309,0.001145233954106771,0.36826580135871556
7893777,0.24426765970149233,0.0010461704126541154,0.36826580135871556
8154731,0.12111466467661636,0.0009653624435490612,0.36826580135871556
7892913,-0.22483809751243733,0.001150243065180239,0.36826580135871556
7923907,0.11349720597015,0.0010434072967330087,0.36826580135871556
7896529,0.26501581691541887,0.0009552570428801596,0.36826580135871556
7893252,-0.30122283383084536,0.000984682685725815,0.36826580135871556
8020508,0.21305875621890635,0.000991073641521983,0.36826580135871556
7914350,0.11893607562189068,0.0010038993186209063,0.36826580135871556
7893431,-0.2324029651741295,0.0010819539001025206,0.36826580135871556
7920182,0.11580761791044747,0.0010859408811680507,0.36826580135871556
8058869,0.2752543761194044,0.0009604028560191481,0.36826580135871556
7956018,0.09780765174129247,0.00110305334798483,0.36826580135871556
7895647,-0.506268089552238,0.000899093320230604,0.36826580135871556
7975676,0.3239971681592042,0.0011479370180611478,0.36826580135871556
8118111,-0.1390256119402995,0.0010161425375716504,0.36826580135871556
8015991,0.2977496019900503,0.0011343492726992638,0.36826580135871556
7976012,0.08732940895522479,0.001125702881691389,0.36826580135871556
7923967,0.20954828855721708,0.0010915071015920636,0.36826580135871556
8101212,0.09162971144278664,0.001085256881526503,0.36826580135871556
8101762,0.16216825870646545,0.0009288523082058024,0.36826580135871556
7919139,-0.1794429890547251,0.0012163936696979504,0.3857358097136443
8143961,-0.09675201791044685,0.001228963398778501,0.38604522914271455
8007826,0.10564564577114499,0.001250126943680264,0.38902314807216587
8079370,-0.176598614925374,0.0013035981734299878,0.3945991670972573
7974207,-0.1291421532338326,0.0013027342986656704,0.3945991670972573
7911720,-0.08275039402984863,0.0012938705966909665,0.3945991670972573
8063547,0.11923073233830817,0.0013653896480336455,0.3997020299450759
8128795,-0.17810998407960188,0.0013523783149246538,0.3997020299450759
8018097,0.18181398208955102,0.0013668124332893356,0.3997020299450759
8083246,0.10379832437810821,0.0013684725775216582,0.3997020299450759
8043446,-0.2714061572139306,0.0013924253888679607,0.4031616362881434
8053737,-0.26003021492537304,0.0014955063043767096,0.4172061035844097
7902977,-0.18156512437810957,0.0015115787195644826,0.4172061035844097
7905486,0.10564181890547442,0.0015161107166926022,0.4172061035844097
7921358,0.20280293731343146,0.0014945953471102902,0.4172061035844097
8000779,0.08537860696517452,0.0015027017311440417,0.4172061035844097
7894601,-0.27209536318407945,0.0014544246610896311,0.4172061035844097
7894731,-0.24445975522388075,0.0015541883438144025,0.41772223080068077
8072610,0.11064133333333359,0.0016711160413582131,0.41772223080068077
8093219,-0.1113643741293524,0.0019823094460520944,0.41772223080068077
7973902,-0.12204858905472626,0.0019174267964362636,0.41772223080068077
