ID_REF	log2FC	pval	adj.pval	FM_mean	HC_mean
8134263	0.014851131320464894	0.023930692062404852	0.583322899942956	5.420703134328359	5.365188533333333
8134316	-0.0027296662524070037	0.8438115824149608	0.9607575659851918	3.577436865671642	3.584212
8134318	-0.005119856107929532	0.6363258312490314	0.8950917381726837	8.05334686567164	8.081977466666666
8134339	0.005012123929270196	0.713240734056283	0.9210127961594577	5.6739941791044775	5.6543161333333325
8134345	-0.013351586256472814	0.1468409223245098	0.691034775663705	2.555614328358209	2.5793753333333327
8134347	0.020798237650153206	0.07403177996605245	0.6346358120269517	3.2138767164179107	3.167877066666667
8134349	0.007841710396176982	0.28334855105587625	0.7569525597326309	6.243406119402983	6.2095624
8134351	0.004000228682702112	0.7570229354141136	0.9359346754969456	4.187215074626867	4.175621066666667
8134372	0.008211615429178476	0.6104985405004633	0.8850593934260057	3.729930597014925	3.708760666666667
8134374	-0.0037776725374416564	0.6625043505169216	0.9050768070851698	7.89557328358209	7.916274799999998
8134376	0.010196276167980134	0.4412904668864153	0.8217548261854248	3.6462449253731344	3.6205658666666665
8134384	0.018609126795743336	0.06397909601245132	0.6250859393824134	4.901714925373135	4.838894399999999
8134403	-0.01133305430565934	0.7756309804638208	0.9411065392799204	2.7537034328358208	2.7754202666666665
8134405	0.006760597584636763	0.5877447487490532	0.8781397977066027	3.273645373134329	3.2583406666666668
8134407	0.002782505498879928	0.6827348891389483	0.9114720181091199	6.76231447761194	6.749284666666667
8134415	-0.010049622694831228	0.17829262673974522	0.7068191659000896	6.330707313432836	6.374960133333333
8134420	0.0024889255484867867	0.8203227593151242	0.9543433301790432	3.5064177611940304	3.5003737333333333
8134429	-0.0026665436577335555	0.8054713156647422	0.9493710980591721	7.878480149253731	7.8930554666666675
8134431	0.01459203229195083	0.15454626160577	0.6940823944817001	8.570091194029851	8.483846533333333
8134433	0.01730959287775491	0.24255811604842964	0.7390732650207017	4.575635820895523	4.521064933333334
8134435	-0.009219519235457163	0.24805268576795186	0.7422028125582597	8.60181462686567	8.6569604
8134452	-0.006115405377650429	0.42144230429859264	0.8129892623036256	7.006327611940297	7.0360896
8134454	-0.004470049133138421	0.39687304508226007	0.8046448141085072	9.174081194029851	9.202550266666668
8134460	-0.01750715460589003	0.20449231302227583	0.7204643296278083	6.148126417910447	6.223188666666666
8134463	0.007586878606257841	0.4600896362105623	0.829082807850509	5.286804328358209	5.259074933333334
8134470	0.006226714375978659	0.2041447445873273	0.720254976909444	8.932630149253729	8.894159733333332
8134550	0.010474524974339872	0.4713604991267357	0.8349598542283586	5.279682388059702	5.241488666666666
8134552	-0.004568768056870898	0.3858628904524946	0.7998633288277226	11.511262686567166	11.547774666666665
8134564	0.00345257318620229	0.6764915315611056	0.9099761677052038	5.0175680597014924	5.005574666666666
8134581	-3.7148357567406975e-05	0.9916000724480114	0.9981388193442162	9.125230895522387	9.125465866666667
8134589	0.0007304092566320364	0.8972798171203695	0.9754172900116169	7.352108358208955	7.348387066666669
8134599	-0.009262299855947287	0.06742011792274824	0.6251427642644801	7.831338656716419	7.881778666666666
8134613	-0.009673866350448979	0.17715788684253433	0.7060832929767197	6.7599285074626865	6.805408933333333
8134621	-0.011314350441328891	0.1345826792012911	0.686291614116064	6.4689628358208955	6.5198952
8134631	-0.00874168947802234	0.07949652576393697	0.6413663638170786	8.453701044776121	8.505079866666666
8134644	-0.006642035774519162	0.14077630259416937	0.6884171925288253	8.195379701492538	8.233197466666665
8134655	-0.0014241600993951664	0.8771022411056982	0.9700448051794517	3.6268720895522386	3.6304541333333336
