,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
Sample_320,0.04564264265339572,0.08371547346619801,0.05289767608025298,0.003478678082182879,0.06749655321602822,0.5493208318869428,0.030503379736577064,0.09203057913264505,1.0226979711949044e-05,0.0047726323192034984,0.0024315501423668026,0.06769977630449514
Sample_322,0.034888430284623774,0.04792943067195676,0.1359130351019771,0.0016241617251005161,0.1692918240628233,0.31384216904277445,0.036644510793791774,0.06992176565569237,8.049111000137997e-05,0.0028931573137931767,0.002638217478762239,0.18433280675870312
Sample_324,0.02143481219726212,0.07611988173285913,0.08773408832352748,0.0042890415566873095,0.1249144854055082,0.48546635353460627,0.05210003546211545,0.11216465442380202,0.00017102808703328983,0.0037761788616275586,0.0031479582925549167,0.028681482122416252
Sample_326,0.01602821884633843,0.0700512471879672,0.1158334283210251,0.0026643588354854086,0.13090258939885188,0.42647424722969907,0.039024872036036766,0.06726387538473914,0.0005508075244191913,0.0005813641641975223,0.0005535773904248031,0.13007141368081526
Sample_328,0.013639695180345204,0.05383681175013253,0.08209110831643891,0.002000887994531422,0.09376197240274635,0.509465365415343,0.062229858110657676,0.11555644284225808,0.00020310824761218685,0.0014114185750806311,0.0008752674315756551,0.0649280637332783
Sample_330,0.024566419798767555,0.03662578558893789,0.2036868185754989,0.005564736153489581,0.3389397217883801,0.2542417791109123,0.03883755541096355,0.068758509509578,0.0007163290193130246,0.0011996264461354522,0.0020888533346609586,0.024773865263362973
Sample_332,0.07592006639360664,0.0700030147330817,0.2593703919811517,0.003711758973195923,0.34376285970191545,0.11902098220259033,0.059361669740213285,0.04380531671187485,0.0005457252997918516,0.0009693298202427057,0.001015464205189456,0.022513420237146108
Sample_334,0.08157712656310774,0.05163589681874592,0.24102587760113228,0.00559435223346058,0.26614766049706307,0.23756747196603234,0.052141836307447426,0.046206689526531446,0.0021928871630250623,0.0014543101087517937,0.00226332232668491,0.01219256888801732
Sample_352,0.07490028627569426,0.05490146058768077,0.18742213227543258,0.006492071927518888,0.3016434683686926,0.13313128138527036,0.16108306364539868,0.04067418937892361,0.0040211106836627415,0.003911693748882804,0.010387161901202976,0.021432079821639537
Sample_354,0.0183600563544012,0.03573120018776236,0.31166102129840284,0.002779257546447315,0.5149823700003325,0.0483376250315401,0.028609134215476593,0.029995605646906554,0.0016350927730876715,0.0011349322880339005,0.0016576873220696784,0.005116017335539437
Sample_356,0.0618742922318405,0.076616126805583,0.21394139327796452,0.0056891364724194595,0.3297046151848528,0.1583969512871875,0.06353746023232852,0.04707250932521368,0.002113400001723557,0.008512341405595503,0.013995369591239593,0.018546404184051388
Sample_358,0.04228069833721477,0.04438496574369546,0.15537411899664325,0.004351557043350501,0.42265038084506373,0.11002726873762933,0.08566740943737733,0.05595533711262116,0.021871887579777795,0.011652517459002573,0.024037878283609027,0.021745980424015137
Sample_360,0.047745707312046685,0.02364022550971371,0.2750279333143501,0.001403902072260292,0.4647093637034494,0.12019619769100971,0.03576642842472799,0.0248368025745776,7.450974184816784e-05,0.0001898699792750713,0.00036685103277692024,0.006042208643964272
Sample_362,0.0349730294398362,0.04427442865651054,0.12631690758327005,0.002966550813387158,0.18193506355354996,0.3099004017591399,0.12579420125160243,0.13178969489548026,0.001330591072561674,0.0010335403799455055,0.005470159446997899,0.03421543114771843
Sample_364,0.03188309926983315,0.16721497256420859,0.16483955258367414,0.00221529509302903,0.25106272276470354,0.18576926057064175,0.10153767105188136,0.05417177889505266,0.00014700882834210057,0.004824608412796194,0.002503108752451137,0.03383092121338626
Sample_366,0.016218215194912164,0.07092132885672833,0.20769889778934042,0.00452128962858184,0.31655796390730667,0.185480453774656,0.029340500810995967,0.07090908897756729,0.0,0.00018808792551912865,0.00015957734357086435,0.09800459579082137
Sample_368,0.011144211831463887,0.12894294811015286,0.062472286400960385,0.0021473652525231903,0.2664291338911141,0.34622303015427247,0.0861007875018852,0.06816109309640069,0.00020298822326655046,0.0014065210210635355,0.010061882148530559,0.01670775236836655
Sample_370,0.0022705828499229117,0.019613946654823064,0.04505243748461024,0.0002591483618649854,0.05109569842627953,0.48233354763727115,0.028967106471591,0.36250875637546454,0.0007645477283966678,0.0014973776597859347,0.0008033647640216194,0.004833485585968306
Sample_372,0.01279832483728106,0.037335808608326956,0.0704911167615257,0.002114206330230643,0.09845453903037286,0.42101578549138496,0.07256993591566213,0.2394809000519376,0.0012989897500021372,0.0048751098480543315,0.0029998391419705146,0.03656544423325131
Sample_374,0.005268663166527843,0.03412803979085018,0.09365112278229411,0.001229078435136909,0.1233018913922237,0.43418323104529655,0.08219597730066432,0.17153268318693082,5.802568805117133e-05,0.001014337622842103,0.0005088027351034162,0.052928146854078914
Sample_376,0.00762353366311379,0.030196464824202043,0.03893587206003434,0.0008386929314340009,0.07069470727437026,0.5752291052852099,0.07559054295532588,0.1600708383667065,0.00010339605002035146,0.0004940165370245421,0.00044454439436594133,0.0397782856581924
Sample_378,0.004387519152720631,0.04087745528663349,0.10668030863538032,0.0018039058991115508,0.10744373754336402,0.33827995467704863,0.07107366129239161,0.25470958198660953,0.00017842653458633953,0.0017731851678288424,0.0014122247990845022,0.07138003902524064
Sample_380,0.007836837597385902,0.027364663633342234,0.04994527188217692,0.0005570859443980515,0.06508804934296772,0.48274131978562274,0.08208532628671192,0.21809416290059444,0.00018988271273849664,0.0007399462372787147,0.0010935988363129315,0.06426385484046997
Sample_382,0.00393210102759506,0.03103428940457332,0.0699046372490084,0.0008941015704030686,0.07472566922367105,0.43421524422722685,0.06496517330111323,0.2932495212580903,0.0013715722681603181,0.0009140684163884303,0.0006399236832455036,0.024153698370524473
Sample_389,0.004992163756078349,0.038115945765306546,0.06449603838680648,0.0020953862120405295,0.07824984972699527,0.4428320655043136,0.048808918367880955,0.29488137280858795,0.0003071204392705839,0.004034838770502523,0.0024921755944226484,0.018694124667794753
Sample_391,0.020741239373693585,0.12589877024018709,0.13880910752479897,0.004286639273757825,0.17457400577518403,0.3007533166468013,0.03717633984030306,0.1606528145327784,0.0021305113244863647,0.0015923808567645617,0.0005374913081458614,0.03284738330309894
Sample_393,0.009191154227686781,0.09809900666383402,0.08563837185041688,0.005183201487916753,0.09658204726566694,0.390934570892294,0.09746348476664445,0.20339121554761563,0.0004837729018574664,0.0015162323637295772,0.0010424405819110772,0.010474501450426558
Sample_395,0.010651246365219177,0.03390711643872636,0.07471355897761955,0.0025888996315341106,0.12088261861856778,0.303024058928562,0.1302536981332578,0.2847011779638578,0.0013464053866684817,0.002268428983328804,0.0018758380322764462,0.03378695254038185
Sample_397,0.020751620906457453,0.048992971350283604,0.11541198531779634,0.0034926870297299676,0.13601258940416064,0.4856233591057318,0.029993038162442517,0.11822947011650402,0.0026799925333329316,0.002391761917340186,0.002195601092282011,0.03422492306393832
Sample_399,0.018474018516372384,0.04093486075401345,0.08627295780098744,0.0007640776367748399,0.09672069314886324,0.37105717748953065,0.06727937258043773,0.12077196982168867,1.8072140952410313e-05,0.002238712586401043,0.0005917196316066886,0.19487636789237148
Sample_401,0.006524329115638811,0.03776231246523975,0.09777687512801533,0.0014881775577941128,0.12047008008842629,0.4869596081906668,0.03488468343991448,0.13361832308405885,0.00020240847835007706,0.002662695597209117,0.0017571439981643793,0.07589336285652214
Sample_403,0.016438813577200072,0.04104824521647996,0.10730556727099334,0.0037116690778263967,0.1431997573865618,0.4196112870751275,0.06828390226496221,0.13816458097922135,0.002164781770380808,0.004420192352096378,0.0033742156869312943,0.05227698734221882
Sample_405,0.03508936326509804,0.21312984352079253,0.19400167447269404,0.004027527874529083,0.2180318976446105,0.2251444169337388,0.032037941119184093,0.05374963755553711,0.0005236894199496316,0.002926833279585534,0.002421637130560204,0.018915537783720397
Sample_407,0.03893992811649021,0.06653833037507234,0.2779726093544018,0.009649344376573322,0.3968995977585773,0.06946126530471622,0.05945737576866296,0.04416410377162644,0.0002414010724171775,0.003317940483074037,0.0004457781447385025,0.03291232547364982
Sample_409,0.027639664937489934,0.1115806336994524,0.0986365922481941,0.004980272585901662,0.12769614278870373,0.36137950234535127,0.03401198484464436,0.10033879338064383,0.005453867548602812,0.0059786968445992,0.007701630356461172,0.1146022184199558
Sample_411,0.013354208270681869,0.041062067434286094,0.11683117671743685,0.002888762961093328,0.1488687634050403,0.4176434502173177,0.05037584549427855,0.12992150943447328,0.002776054163720345,0.003942363135553074,0.0032511472735159293,0.06908465149260269
Sample_413,0.03164132411531031,0.05930153158650936,0.11359440743736367,0.0017662774720245493,0.1684836701829672,0.3096466990886732,0.12634737969215096,0.10827733861474297,0.0017749302189698272,0.0032922588048445484,0.004086094080011831,0.07178808870643162
Sample_415,0.016942093546488086,0.05764975531648752,0.09923548641326176,0.008174187952865968,0.1362297034966459,0.4386267902599956,0.05973466682522313,0.15542800810038232,0.0001798643934500278,0.0010224617183372932,0.001356952525443006,0.02542002945141927
Sample_417,0.01282828461802096,0.051936352637876416,0.14600406164020038,0.0033451292151269,0.19503321116352268,0.32880862914378356,0.04136326596393918,0.11934943524910571,0.002031279376998034,0.0024933281313255133,0.002621515034639214,0.09418550782546158
Sample_419,0.015044943929668793,0.026803291631398787,0.08832836052560676,0.005104398960388828,0.09129925104452577,0.49895579246993055,0.04010239421937772,0.17389934103041046,0.002164586058521636,0.004496724120155468,0.0055771754713159274,0.04822374053869936
Sample_421,0.011713863839084052,0.03891183843589684,0.07991036593536871,0.0017501916537245581,0.08882340241700251,0.5232898282549562,0.030551896547687123,0.15621262499519242,0.002014298914651788,0.00501795716836555,0.005922939960779999,0.055880791877289955
Sample_423,0.018623979852081564,0.030404972134288073,0.11107630747822807,0.0033230195307246916,0.12728278315807617,0.5398067424746789,0.03606997053539906,0.09792563452467348,0.00042200519001790206,0.005291052062650477,0.004115806648346592,0.02565772641083503
