chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL4088639,,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C=O)c3c2)CC1,421.50,Ki,1.450,70.000,48.28,Phenylpiperazine derivative
CHEMBL572379,,O=C(CCCc1cn(-c2ccc([N+](=O)[O-])cc2)nn1)NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,560.49,Ki,48.500,2200.000,45.36,Phenylpiperazine derivative
CHEMBL435301,,CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(Cl)cc3[C@H]2O1,329.83,Ki,5.900,251.000,42.54,Other Aliphatic/Heterocyclic
CHEMBL3234544,,CN1C(=O)c2ccccc2[S@+]([O-])c2ccc(C(=O)NCCc3cccs3)cc21,410.52,Ki,100.000,4100.000,41.00,Other Aliphatic/Heterocyclic
CHEMBL3358513,,O=C(NCCCCN1CCN(c2cnc3ccccc3c2)CC1)c1ccccc1,388.51,Ki,1.000,40.000,40.00,Phenylpiperazine derivative
CHEMBL396560,,COc1ccc2[nH]c3c(c2c1)CCN(C)CCc1ccccc1C3,320.44,Ki,11.900,475.000,39.92,Other Aliphatic/Heterocyclic
CHEMBL608103,,Cn1c(CN2CCC(c3cccc(Cl)c3)CC2)nc2ccccc21,339.87,Ki,39.810,1584.890,39.81,Other Aliphatic/Heterocyclic
CHEMBL4071121,,COc1ccccc1N1CCN(CCCCNC(=O)Oc2ccc3c(c2)[nH]c2ccccc23)CC1,472.59,EC50,57.900,2300.000,39.72,Phenylpiperazine derivative
CHEMBL1170096,,COc1ccc2[nH]cc(CN3CCC(O)(c4ccc(Br)cc4)CC3)c2c1,415.33,Ki,2.500,96.900,38.76,Other Aliphatic/Heterocyclic
CHEMBL1813594,,COc1ccccc1N1CCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1.O=C(O)C(=O)O,407.51,Ki,0.140,5.400,38.57,Phenylpiperazine derivative
CHEMBL1813595,,O=C(O)C(=O)O.O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2[nH]1,439.53,Ki,0.070,2.700,38.57,Other Aliphatic/Heterocyclic
